tick,event,x,y
78427,build,50.5,14.5
78549,mined,50.5,16.5
78549,build,50.5,16.5
78589,build,50.5,15.5
78784,mined,68.5,16.5
78798,mined,69.5,16.5
78816,mined,70.5,16.5
78835,mined,71.5,16.5
78853,mined,72.5,16.5
78872,mined,73.5,16.5
78891,mined,74.5,16.5
78909,mined,75.5,16.5
78929,mined,76.5,16.5
79094,mined,50.5,16.5
79121,mined,50.5,15.5
79227,build,50.5,15.5
79481,mined,49.5,16.5
79481,build,49.5,16.5
79545,build,49.5,17.5
79613,build,50.5,17.5
79655,build,50.5,16.5
79660,build,51.5,16.5
79661,build,52.5,16.5
79662,build,53.5,16.5
79663,build,54.5,16.5
80080,build,45.5,13.5
80085,build,44.5,13.5
80139,build,41.5,13.5
80146,build,40.5,13.5
80524,build,37.5,13.5
80964,build,68,19
80978,build,70,19
80991,build,72,19
81527,build,36.5,13.5
81856,build,68.5,17.5
81861,build,69.5,17.5
81913,build,72.5,17.5
81916,build,73.5,17.5
82564,build,76.5,17.5
82573,build,77.5,17.5
82881,build,74,19
82897,build,76,19
82912,build,78,19
83522,build,68.5,16.5
83541,build,69.5,16.5
83607,build,70.5,16.5
83611,build,71.5,16.5
83616,build,72.5,16.5
83621,build,73.5,16.5
83627,build,74.5,16.5
83633,build,75.5,16.5
83640,build,76.5,16.5
84050,build,55,12
84358,build,77.5,16.5
86738,build,57,12
86749,build,59,12
86763,build,61,12
86777,build,63,12
86789,build,65,12
90065,build,46,18
90107,build,44,18
90144,build,42,18
90175,build,40,18
92596,build,87.5,20.5
93702,build,83.5,20.5
94475,build,80.5,19.5
94719,build,81.5,19.5
95292,build,83.5,16.5
95735,build,83.5,18.5
96272,build,85.5,19.5
100706,build,60.5,21.5
101248,mined,60.5,21.5
101295,build,60.5,21.5
101306,build,61.5,21.5
101312,build,62.5,21.5
101317,build,63.5,21.5
101322,build,64.5,21.5
101328,build,65.5,21.5
101333,build,66.5,21.5
101338,build,67.5,21.5
101344,build,68.5,21.5
101350,build,69.5,21.5
101357,build,70.5,21.5
101364,build,71.5,21.5
101371,build,72.5,21.5
101377,build,73.5,21.5
101384,build,74.5,21.5
101391,build,75.5,21.5
101399,build,76.5,21.5
101404,build,77.5,21.5
105333,build,91.5,20.5
105421,build,95.5,20.5
105463,build,99.5,20.5
105632,build,89.5,19.5
105683,build,93.5,19.5
105737,build,97.5,19.5
106293,build,78.5,16.5
106300,build,79.5,16.5
106301,build,80.5,16.5
106310,build,81.5,16.5
106351,mined,81.5,16.5
106763,build,81.5,16.5
110159,build,60.5,20.5
110199,build,61.5,20.5
110254,build,64.5,20.5
110284,build,65.5,20.5
110323,build,68.5,20.5
111195,build,69.5,20.5
111235,build,72.5,20.5
111267,build,73.5,20.5
111344,build,76.5,20.5
111371,build,77.5,20.5
113397,build,39,24
113407,build,41,24
113501,mined,47,26
113538,mined,47,24
113593,mined,45,24
113657,build,43,24
113683,build,45,24
114939,mined,80.5,19.5
114956,mined,81.5,19.5
114987,mined,83.5,20.5
115035,mined,83.5,18.5
115073,mined,83.5,16.5
115104,mined,81.5,16.5
115145,mined,80.5,16.5
115163,mined,79.5,16.5
115182,mined,78.5,16.5
115237,mined,85.5,19.5
115274,mined,87.5,20.5
115332,mined,89.5,19.5
115363,mined,91.5,20.5
115414,mined,95.5,20.5
115434,mined,93.5,19.5
115470,mined,97.5,19.5
115501,mined,99.5,20.5
115509,build,81.5,20.5
115627,mined,81.5,20.5
116047,build,88.5,29.5
116179,build,94.5,29.5
117319,build,100.5,29.5
117793,build,91.5,30.5
117795,build,91.5,31.5
117796,build,91.5,32.5
117797,build,91.5,33.5
117798,build,91.5,34.5
117799,build,91.5,35.5
117799,build,91.5,36.5
117800,build,91.5,37.5
117921,mined,91.5,37.5
117939,mined,91.5,36.5
117957,mined,91.5,35.5
117973,mined,91.5,34.5
117988,mined,91.5,33.5
118004,mined,91.5,32.5
118143,build,97.5,30.5
118395,build,90.5,30.5
118426,build,92.5,30.5
118513,build,96.5,30.5
118581,build,98.5,30.5
119037,build,85.5,30.5
119287,build,78.5,21.5
119292,build,79.5,21.5
119294,build,80.5,21.5
119295,build,81.5,21.5
119296,build,82.5,21.5
119297,build,83.5,21.5
119299,build,84.5,21.5
119376,build,85.5,21.5
119380,build,85.5,22.5
119382,build,85.5,23.5
119383,build,85.5,24.5
119384,build,85.5,25.5
119385,build,85.5,26.5
119386,build,85.5,27.5
119388,build,85.5,28.5
119389,build,85.5,29.5
119613,build,86.5,30.5
123602,build,30,9.5
123748,mined,30,9.5
123952,mined,35.5,11.5
123952,build,35,11.5
124516,build,34.5,12.5
124524,build,33.5,12.5
124528,build,32.5,12.5
124532,build,31.5,12.5
124537,build,30.5,12.5
124544,build,29.5,12.5
124687,mined,29.5,12.5
124687,build,29.5,12.5
124689,build,29.5,13.5
124695,build,29.5,14.5
124700,build,29.5,15.5
124706,build,29.5,16.5
124711,build,29.5,17.5
124716,build,29.5,18.5
124723,build,29.5,19.5
124729,build,29.5,20.5
124736,build,29.5,21.5
125017,build,30.5,21.5
125022,build,31.5,21.5
125028,build,32.5,21.5
125033,build,33.5,21.5
125038,build,34.5,21.5
125045,build,35.5,21.5
125080,mined,34.5,21.5
125101,mined,35.5,21.5
125127,mined,33.5,21.5
125140,mined,32.5,21.5
125167,mined,30.5,21.5
125190,mined,29.5,21.5
125209,mined,31.5,21.5
125253,build,29.5,21.5
125257,build,30.5,21.5
125260,build,31.5,21.5
125262,build,32.5,21.5
125265,build,33.5,21.5
125269,build,34.5,21.5
125273,build,35.5,21.5
125279,build,36.5,21.5
125285,build,37.5,21.5
125291,build,38.5,21.5
125297,build,39.5,21.5
125300,build,40.5,21.5
125303,build,41.5,21.5
125306,build,42.5,21.5
125317,build,43.5,21.5
125322,build,44.5,21.5
125357,build,45.5,21.5
125576,build,39.5,25.5
125581,build,40.5,25.5
125582,build,41.5,25.5
125584,build,42.5,25.5
125585,build,43.5,25.5
125587,build,44.5,25.5
125589,build,45.5,25.5
125593,build,46.5,25.5
125747,build,82.5,29.5
126398,build,84.5,30.5
126430,build,47,24
126462,build,49,24
126532,build,49,27
126565,build,47,27
126603,build,45,27
126658,build,43,27
126697,build,41,27
126731,build,39,27
126943,mined,82.5,29.5
127155,mined,85.5,28.5
127155,build,85,28.5
127235,mined,84.5,30.5
127443,build,84.5,29.5
127479,build,84.5,30.5
127485,build,83.5,30.5
127488,build,82.5,30.5
127492,build,81.5,30.5
127495,build,80.5,30.5
127499,build,79.5,30.5
127503,build,78.5,30.5
127507,build,77.5,30.5
127512,build,76.5,30.5
127587,build,75.5,30.5
127590,build,74.5,30.5
127593,build,73.5,30.5
127598,build,72.5,30.5
127793,build,47.5,25.5
127796,build,48.5,25.5
127798,build,49.5,25.5
127867,build,50.5,25.5
127870,build,51.5,25.5
127872,build,52.5,25.5
128254,build,76.5,27.5
128330,build,72.5,27.5
128581,build,46.5,21.5
128586,build,47.5,21.5
128589,build,48.5,21.5
128767,build,76.5,29.5
128805,build,72.5,29.5
128890,build,74.5,27.5
132189,build,39.5,22.5
132204,build,40.5,22.5
132240,build,43.5,22.5
132277,build,44.5,22.5
132319,build,47.5,22.5
132675,build,48.5,22.5
132930,build,53.5,25.5
132935,build,54.5,25.5
132939,build,55.5,25.5
132944,build,56.5,25.5
132950,build,57.5,25.5
132956,build,58.5,25.5
132963,build,59.5,25.5
132969,build,60.5,25.5
132976,build,61.5,25.5
132983,build,62.5,25.5
132990,build,63.5,25.5
133016,mined,63.5,25.5
133032,mined,62.5,25.5
133049,mined,61.5,25.5
133066,mined,60.5,25.5
133084,mined,59.5,25.5
133260,build,60,24
133379,mined,60,24
133440,mined,58.5,25.5
133476,mined,57.5,25.5
133828,build,68.5,27.5
